	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
51886	452.0	121.0	416.0	483.0	168.0	883.0	364.0	501.0	790.0	178.0	963.0	440.0	593.0	752.0	246.0	792.0	336.0	309.0	348.0	835.0
52602	52.0	100.0	358.0	163.0	140.0	184.0	116.0	175.0	304.0	85.0	257.0	354.0	235.0	222.0	96.0	32960.0	197.0	102.0	176.0	362.0
52633	3147.0	2955.0	3075.0	3533.0	2879.0	3625.0	2718.0	4043.0	3076.0	3946.0	3506.0	3153.0	3223.0	3588.0	3612.0	3885.0	3015.0	4441.0	3520.0	3854.0
52645	3570.0	3652.0	3983.0	5043.0	3893.0	4634.0	4142.0	5321.0	5091.0	5538.0	4591.0	4728.0	4547.0	4686.0	5292.0	4119.0	5395.0	4847.0	4582.0	5004.0
52657	3579.0	3500.0	3728.0	5468.0	3492.0	4263.0	4124.0	3825.0	4949.0	4514.0	3310.0	4333.0	3919.0	4657.0	5643.0	4482.0	5151.0	4986.0	4382.0	5225.0
52707	87.0	99.0	164.0	242.0	326.0	426.0	421.0	421.0	242.0	361.0	483.0	248.0	675.0	182.0	112.0	320.0	132.0	498.0	824.0	137.0
52713	539.0	492.0	1649.0	1142.0	881.0	952.0	1153.0	1248.0	1159.0	1006.0	1428.0	651.0	1316.0	508.0	634.0	1631.0	790.0	1682.0	1378.0	1351.0
52737	1957.0	1586.0	2990.0	1961.0	2869.0	2250.0	1417.0	2463.0	2461.0	3266.0	2651.0	1657.0	3065.0	1238.0	1897.0	2328.0	2489.0	3000.0	3981.0	3168.0
52745	2530.0	2695.0	3741.0	3622.0	3573.0	4903.0	2818.0	4201.0	3619.0	4520.0	4358.0	4289.0	4149.0	3622.0	3851.0	3780.0	4826.0	4496.0	4956.0	4438.0
52754	4196.0	2975.0	3722.0	3449.0	4279.0	4277.0	4155.0	4419.0	3958.0	4160.0	3968.0	4237.0	3712.0	3753.0	5719.0	4213.0	5706.0	5723.0	5118.0	4512.0
52765	5122.0	5232.0	4520.0	6152.0	5243.0	5253.0	6269.0	5611.0	4370.0	4984.0	5576.0	5042.0	4849.0	4218.0	6425.0	4717.0	6011.0	6610.0	5420.0	7082.0
52818	259.0	283.0	566.0	309.0	322.0	419.0	442.0	591.0	435.0	599.0	908.0	313.0	624.0	190.0	374.0	727.0	469.0	738.0	684.0	
52825	292.0	274.0	594.0	252.0	711.0	542.0	476.0	570.0	588.0	646.0	1450.0	413.0	445.0	331.0	315.0	1012.0	267.0	500.0	991.0	617.0
52833	1407.0	1209.0	1968.0	1785.0	2252.0	2966.0	1578.0	2622.0	2262.0	2735.0	2553.0	2135.0	2298.0	1376.0	1617.0	2971.0	3233.0	2402.0	2893.0	2194.0
52836	2124.0	1236.0	3376.0	1425.0	2706.0	2784.0	2426.0	2815.0	2298.0	2736.0	3187.0	2185.0	3007.0	1529.0	2124.0	2608.0	2074.0	2788.0	3510.0	2610.0
52842	1766.0	1352.0	2215.0	1749.0	1823.0	3109.0	1976.0	2519.0	2062.0	3217.0	2627.0	2510.0	2549.0	2958.0	1639.0	35285.0	3031.0	2168.0	3791.0	2471.0
52853	2482.0	3897.0	3690.0	3742.0	4114.0	4220.0	4220.0	4560.0	4290.0	4992.0	3716.0	4473.0	4751.0	4548.0	4788.0	3928.0	4028.0	5170.0	4478.0	4355.0
52855	2719.0	3679.0	3894.0	3841.0	4166.0	4261.0	4424.0	5368.0	3768.0	5312.0	4403.0	4353.0	4746.0	4059.0	5001.0	3574.0	5817.0	4363.0	5153.0	4559.0
52856	2440.0	3362.0	3168.0	2667.0	3593.0	3770.0	3321.0	3329.0	3536.0	3401.0	3288.0	3145.0	3324.0	2757.0	3516.0	3089.0	4642.0	3534.0	5236.0	4185.0
52862	5153.0	4492.0	4677.0	6634.0	4882.0	4930.0	4845.0	5892.0	5201.0	5711.0	4658.0	5723.0	5735.0	5982.0	6966.0	5038.0	5296.0	5344.0	4834.0	5848.0
52863	4116.0	5139.0	4774.0	6609.0	4562.0	5326.0	4495.0	6184.0	4554.0	5472.0	4790.0	5026.0	5592.0	4422.0	5023.0	4266.0	5149.0	5643.0	6190.0	6216.0
52866	3430.0	3978.0	3877.0	5379.0	4295.0	4841.0	3523.0	5231.0	3786.0	4591.0	4050.0	3904.0	4461.0	4136.0	4465.0	3062.0	4441.0	4640.0	5191.0	5365.0
52868	1350.0	2042.0	1664.0	2299.0	2873.0	3029.0	2745.0	3148.0	3146.0	2854.0	2386.0	2763.0	3045.0	2483.0	2569.0	1840.0	3297.0	2783.0	3553.0	2548.0
52869	4476.0	5216.0	4207.0	5625.0	5553.0	5330.0	5098.0	7196.0	5358.0	5575.0	4850.0	4905.0	6703.0	4869.0	5628.0	3703.0	5046.0	5390.0	6685.0	5326.0
52874	2844.0	2632.0	2597.0	3764.0	3644.0	3017.0	2770.0	4174.0	4050.0	3702.0	2765.0	2721.0	3532.0	2587.0	3543.0	2652.0	4201.0	3157.0	4915.0	3590.0
52875	2458.0	3101.0	2332.0	3641.0	3480.0	3297.0	2738.0	4229.0	3891.0	3998.0	3318.0	2551.0	3882.0	2786.0	3525.0	2493.0	3967.0	2494.0	4988.0	3890.0
52876	3650.0	2569.0	2922.0	4023.0	3553.0	2976.0	2505.0	4017.0	3954.0	3260.0	3062.0	2732.0	3782.0	2810.0	3981.0	2786.0	4116.0	3354.0	4974.0	3905.0
52877	3293.0	3774.0	3949.0	4873.0	4110.0	5024.0	3573.0	5429.0	5673.0	4857.0	4268.0	3862.0	5736.0	5360.0	5447.0	3900.0	5436.0	4373.0	6283.0	5967.0
52908	2830.0	2912.0	4021.0	2616.0	3008.0	3400.0	2791.0	2866.0	4075.0	4294.0	3718.0	3670.0	4255.0	2736.0	4079.0	2888.0	3206.0	3986.0	4796.0	4568.0
52943	2473.0	3566.0	3586.0	3245.0	3295.0	5309.0	3765.0	4327.0	4688.0	5194.0	4127.0	3817.0	4254.0	2904.0	3827.0	3189.0	5145.0	4128.0	6262.0	5175.0
52955	2483.0	3553.0	3460.0	4054.0	4321.0	4783.0	5197.0	5008.0	4564.0	5061.0	4023.0	4552.0	5751.0	3576.0	4858.0	4647.0	6144.0	5460.0	8942.0	6138.0
52957	2674.0	4058.0	3517.0	4556.0	4697.0	4704.0	3317.0	4876.0	5616.0	4848.0	3852.0	4543.0	6635.0	4190.0	4176.0	4325.0	6322.0	5646.0	6742.0	5897.0
52963	2211.0	2598.0	2451.0	3908.0	3089.0	3289.0	2892.0	5126.0	4401.0	4336.0	3126.0	2712.0	4094.0	4240.0	3862.0	2632.0	4532.0	3528.0	5354.0	3814.0
52968	3873.0	4582.0	3308.0	5472.0	5430.0	5830.0	4564.0	6326.0	5980.0	5467.0	5365.0	5478.0	5022.0	4933.0	5164.0	4448.0	5847.0	5283.0	6039.0	5247.0
